6.149999999999999911e-02	1.635046407562918091e+11 6.896285924319965363e+09
5.500000000000000028e-02	1.689544231952693787e+11 6.638102799621519089e+09
5.050000000000000322e-02	1.683972779086159363e+11 6.237141755397666931e+09
4.599999999999999922e-02	1.729330285736414490e+11 6.136000776495251656e+09
4.299999999999999656e-02	1.706425501651430054e+11 5.842421147148058891e+09
4.000000000000000083e-02	1.717820631945790710e+11 5.751177112318013191e+09
3.749999999999999861e-02	1.717820631945791016e+11 5.671089558713880539e+09
3.500000000000000333e-02	1.746812873386016541e+11 5.756133611840486526e+09
3.300000000000000155e-02	1.752699348990705566e+11 5.789980472156115532e+09
3.200000000000000067e-02	1.672912232461058350e+11 5.492604029534905434e+09
