3.649999999999999772e-02	1.776232362105551147e+11 6.438880186342414856e+09
3.799999999999999906e-02	1.775335430366837769e+11 6.337556419218842506e+09
3.950000000000000039e-02	1.769449228318735352e+11 6.229045142451334953e+09
4.150000000000000216e-02	1.717510207878588867e+11 5.947260844220879555e+09
4.299999999999999656e-02	1.706425501651430054e+11 5.842421147148058891e+09
4.399999999999999745e-02	1.731601007018640137e+11 5.886311566212481499e+09
4.499999999999999833e-02	1.752878195863052368e+11 5.918636674297826767e+09
4.649999999999999967e-02	1.732814033371383362e+11 5.797136312156590462e+09
4.750000000000000056e-02	1.748022577591963196e+11 5.813937389175365448e+09
4.850000000000000144e-02	1.760516415230719604e+11 5.823226772836310387e+09
5.000000000000000278e-02	1.735349413904421082e+11 5.696314042851745605e+09
5.149999999999999717e-02	1.710084770212328186e+11 5.573819201288091660e+09
5.299999999999999850e-02	1.684859782424435730e+11 5.455683937181686401e+09
5.399999999999999939e-02	1.690661840145690613e+11 5.451710142703983307e+09
